data,callsign,departure,arrivee,registration,Parking,Parking0,Parking1,Parking2,Parking3,Parking4,Parking5,Parking6,Parking7,Parking8,Parking9,Parking10,Parking11
20170803,GCR6658,ZYTL,ZBTJ,B3167,209.0,209,209,209,209,209,209,209,209,209,209,209,209
20170803,GCR6658,ZBTJ,ZBHH,B3167,209.0,209,209,209,209,209,209,209,209,209,209,209,209
20170803,GCR784V,ZHCC,ZBTJ,B3170,209.0,209,209,209,209,209,209,209,209,209,209,209,209
20170803,GCR7841,ZBTJ,ZHCC,B3170,,,,,,,,,,,,,
20170803,GCR7842,ZHCC,ZBTJ,B3170,213.0,213,213,213,213,213,213,213,213,213,213,213,213
20170803,GCR7889,ZBTJ,ZSAM,B3171,212.0,212,212,212,212,212,212,212,212,212,212,212,212
20170803,GCR7890,ZSAM,ZBTJ,B3171,212.0,212,212,212,212,212,212,212,212,212,212,212,212
20170803,GCR6433,ZYTL,ZBTJ,B3181,206.0,206,206,206,206,206,206,206,206,206,206,206,206
20170803,GCR6434,ZBTJ,ZYTL,B3181,206.0,206,206,206,206,206,206,206,206,206,206,206,206
20170803,CBG8823,ZUKJ,ZBTJ,B3183,,,,,,,,,,,,,
20170803,CBG8824,ZBTJ,ZUKJ,B3183,,,,,,,,,,,,,
20170803,GCR6657,ZBHH,ZBTJ,B3189,210.0,210,210,210,210,210,210,210,210,210,210,210,210
20170803,GCR6657,ZBTJ,ZYTL,B3189,210.0,210,210,210,210,210,210,210,210,210,210,210,210
20170803,GCR7869,ZBTJ,ZHHH,B3213,209.0,209,209,209,209,209,209,209,209,209,209,209,209
20170803,GCR7870,ZHHH,ZBTJ,B3213,215.0,215,215,215,215,215,215,215,215,215,215,215,215
20170802,HXA2924,ZYBA,ZBTJ,B3228,601.0,601,601,601,601,601,601,601,601,601,601,601,601
20170803,HXA2901,ZBUC,ZBTJ,B3228,601.0,601,601,601,601,601,601,601,601,601,601,601,601
20170803,HXA2902,ZBTJ,ZBUC,B3228,601.0,414R,414R,414R,414R,414R,414R,414R,414R,414R,414R,414R,414R
20170803,HXA2670,ZLGY,ZBTJ,B3231,602.0,601,601,601,601,601,601,601,601,601,601,601,601
20170803,HXA2819,ZBTJ,ZBES,B3231,601.0,414R,414R,414R,414R,414R,414R,414R,414R,414R,414R,414R,414R
